task_id	sid	snap	run_label	mode	alpha	ray_id	spectrum_file	output_file
11235	438148	99	L4Rvir	noflip	74	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha74_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha074/L4Rvir_sid438148_J122138+043026_noflip_alpha74_spectrum_fits.csv
11236	438148	99	L4Rvir	noflip	75	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha75_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha075/L4Rvir_sid438148_J122138+043026_noflip_alpha75_spectrum_fits.csv
11237	438148	99	L4Rvir	noflip	76	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha76_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha076/L4Rvir_sid438148_J122138+043026_noflip_alpha76_spectrum_fits.csv
11238	438148	99	L4Rvir	noflip	77	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha77_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha077/L4Rvir_sid438148_J122138+043026_noflip_alpha77_spectrum_fits.csv
11239	438148	99	L4Rvir	noflip	78	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha78_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha078/L4Rvir_sid438148_J122138+043026_noflip_alpha78_spectrum_fits.csv
11240	438148	99	L4Rvir	noflip	79	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha79_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha079/L4Rvir_sid438148_J122138+043026_noflip_alpha79_spectrum_fits.csv
11241	438148	99	L4Rvir	noflip	80	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha80_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha080/L4Rvir_sid438148_J122138+043026_noflip_alpha80_spectrum_fits.csv
11242	438148	99	L4Rvir	noflip	81	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha81_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha081/L4Rvir_sid438148_J122138+043026_noflip_alpha81_spectrum_fits.csv
11243	438148	99	L4Rvir	noflip	82	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha82_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha082/L4Rvir_sid438148_J122138+043026_noflip_alpha82_spectrum_fits.csv
11244	438148	99	L4Rvir	noflip	83	J122138+043026	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/spectra_h5/L4Rvir_sid438148_J122138+043026_noflip_alpha83_spectrum.h5	/scratch/tsingh65/m61-tng/outputs/sid438148/rays_and_spectra_sid438148_snap99_L4Rvir/fitted_spectra_snr10_bin3/per_spectrum/noflip/alpha083/L4Rvir_sid438148_J122138+043026_noflip_alpha83_spectrum_fits.csv
